title,icon,url,description,area
Sketch,../images/stack/sketch.png,https://www.sketchapp.com/,"I use sketch for wireframes and mockups, and designing visual components. Sketch is my preferred tool for design because it is built to let you design multi-screen experiences using artboards and pages, and tools like Symbols and shared styles let you create, reuse, and share components with collaborators.",design
Invision,../images/stack/invision.png,https://www.invisionapp.com/,"Invision is a way to take your wireframes and mockups and transform them into a clickable, simulated experience. I use it to prove the concepts of my designs before going forward, and it also makes a great tool to facilitate feedback sessions.",design
Adobe Illustrator,../images/stack/ai.png,https://www.adobe.com/products/illustrator.html,"I use illustrator for vector images, for illustrations or even for icons that need advanced detailing features and tools that sketch doesn't provide.",design
Adobe Photoshop,../images/stack/photoshop.png,https://www.adobe.com/products/photoshop.html,"Photoshop allowes me to edit images with advanced features, filters, and layers. Sketch's functionality provides limited options for manipulating photos, and sometimes a design calls for more.",design
HTML5,../images/stack/html5.png,https://www.w3schools.com/html/html5_intro.asp,"HTML is the content layer of the websites and apps, the skeleton. It's the rawest part: the text, and the paths to media. It also enables tagging of this content via classes and IDs which lets you assign styles using CSS.",build
CSS3,../images/stack/css.png,https://www.w3schools.com/css/css3_intro.asp,"CSS3 is how you visually bring a website to life, it's how you tell the HTML pieces how it needs to take size and shape, in order for the user to receive the cues it needs to behave on your site. This version of CSS allows advanced features like animations and flexible grid systems.",build
Sass,../images/stack/sass.png,http://sass-lang.com,"Sass (Syntactically Awesome StyleSheets) is a more clean way to write CSS. It includes features variables, nested selectors, inline imports and more. It helps with organization and is essential to collaboration.",build
Jekyll,../images/stack/jekyll.png,https://jekyllrb.com/,"Jekyll can be thought of as a framework used to build static websites from dynamic components such as templates, partials, liquid code, markdown, etc. It's a website starter pack and has a lot of flexibility.",build
GitHub,../images/stack/github.png,https://www.github.com/amaliebarras,"GitHub is version control for code, but it can also be used for design and open-sourcing your projects in general.",build
Command Line,../images/stack/commandline.png,https://www.iterm2.com/,"A command-line user interface (CLI) just means interfacing with your computer through typed commands instead of clicking around. I use it to make my Git workflow faster.",build
Google Analytics,../images/stack/googleanalytics.png,https://www.google.com/analytics/,"Google Analytics is a freemium web analytics service offered by Google that tracks and reports website traffic. It provides limited functionality out of the box, but with a thorough configuration, I've made it collect demographic, survey data, dropoff funnels, and a lot more.",test
SurveyMonkey,../images/stack/surveymonkey.png,https://www.surveymonkey.com/mp/aboutus/,"SurveyMonkey provides free, customizable surveys, as well as a suite of paid back-end programs that include data analysis, sample selection, bias elimination, and data representation tools. I've used it for prototyping as well.",test
Tableau,../images/stack/tableau.jpg,https://www.tableau.com/about/mission,"Tableau is a visual analytics platform that seeks to help people see and understand their data. It has an public version as well as an enterprise desktop version, both of which I've used to expose insights in an organization and effect big change.",test
CrazyEgg,../images/stack/crazy-egg.png,https://www.crazyegg.com/,"There is nothing in Google Analytics that can replace the functionality Crazy Egg provides -- Google Analytics have the site overlay report, this tells you what percentage of people clicked through to what page -- but it can't tell you which part they clicked. Crazy Egg shows you where everyone has clicked, whether it was on a link or not -- this highlights usability errors and often areas that could result in an improvement in conversions.",test
